date,population,population_2d,population_3d,precip,humidity,temp,lw_avg_temp,lw_avg_humidity,lw_precip
2010_09,757.0,459.5,654.6666666666666,0.0,86.42857142857143,25.857142857142858,27.9047619047619,76.04761904761904,0.0
2010_10,575.75,695.5,883.6666666666666,0.0,77.57142857142857,29.428571428571427,27.9047619047619,78.57142857142857,0.0
2010_11,646.75,1152.5,1133.6666666666667,0.0,76.85714285714286,27.571428571428573,27.61904761904762,80.28571428571429,0.0
2010_12,806.0,1178.0,1013.0,0.0,79.42857142857143,27.714285714285715,28.23809523809524,77.95238095238095,0.0
2010_13,936.75,889.5,878.6666666666666,0.0,79.57142857142857,27.285714285714285,27.52380952380952,78.61904761904762,0.0
2010_14,1021.0,770.0,772.3333333333334,0.0,72.42857142857143,24.857142857142858,26.61904761904762,77.14285714285715,0.0
2010_15,974.0,817.0,965.3333333333334,0.0,82.14285714285714,24.142857142857142,25.428571428571427,78.04761904761904,0.0
2010_16,853.25,1019.5,1022.6666666666666,0.0,77.71428571428571,26.428571428571427,25.142857142857142,77.42857142857143,0.0
2010_17,894.75,1145.5,1027.0,0.0,78.14285714285714,25.428571428571427,25.33333333333333,79.33333333333333,0.0
2010_18,981.25,909.5,970.0,0.0,78.0,26.0,25.952380952380956,77.95238095238095,0.0
2010_19,964.5,940.5,842.0,0.0,84.57142857142857,22.714285714285715,24.71428571428571,80.23809523809523,0.0
2010_20,1043.0,868.0,772.3333333333334,0.0,84.28571428571429,23.857142857142858,24.19047619047619,82.28571428571429,0.0
2010_21,888.75,613.0,581.0,0.0,84.14285714285714,24.0,23.52380952380952,84.33333333333333,0.0
2010_22,776.75,549.0,607.3333333333334,0.0,82.28571428571429,21.857142857142858,23.23809523809524,83.57142857142857,0.0
2010_23,708.5,620.5,667.3333333333334,0.0,81.0,20.571428571428573,22.142857142857142,82.47619047619048,0.0
2010_24,616.75,742.5,683.3333333333334,0.0,76.57142857142857,21.571428571428573,21.33333333333333,79.95238095238095,0.0
2010_25,645.75,663.0,549.3333333333334,0.0,83.85714285714286,21.714285714285715,21.28571428571429,80.47619047619047,0.0
2010_26,641.75,443.5,389.0,0.0,86.71428571428571,21.428571428571427,21.571428571428573,82.38095238095237,0.0
2010_27,593.0,301.0,361.3333333333333,0.0,86.71428571428571,22.285714285714285,21.80952380952381,85.76190476190476,0.0
2010_28,482.0,381.0,448.0,0.0,84.42857142857143,23.714285714285715,22.47619047619048,85.95238095238095,0.0
2010_29,412.25,532.0,566.3333333333334,0.0,82.42857142857143,22.571428571428573,22.857142857142858,84.52380952380952,0.0
2010_30,416.5,608.5,696.6666666666666,0.0,81.85714285714286,22.142857142857142,22.80952380952381,82.9047619047619,0.0
2010_31,494.75,754.0,690.0,0.0,78.0,22.142857142857142,22.28571428571429,80.76190476190476,0.0
2010_32,643.0,717.5,650.0,0.0,74.14285714285714,22.0,22.09523809523809,77.99999999999999,0.0
