date,real_mosquitoes,predicted_mosquitoes,cases
2011_32,392.0,11.369438171386719,53.0
2011_33,404.25,11.487397193908691,42.0
2011_34,439.0,10.664722442626953,32.0
2011_35,409.25,10.758968353271484,25.0
2011_36,388.5,12.176345825195312,24.0
2011_37,377.25,14.468283653259277,42.0
2011_38,340.5,19.14676856994629,40.0
2011_39,326.25,25.665395736694336,25.0
2011_40,320.0,32.44875717163086,30.0
2011_41,279.75,60.60675048828125,37.0
2011_42,268.75,143.4545440673828,61.0
2011_43,288.5,205.93272399902344,64.0
2011_44,363.5,224.9976043701172,54.0
2011_45,481.0,242.73057556152344,74.0
2011_46,627.75,288.8350830078125,67.0
2011_47,637.75,385.43182373046875,99.0
2011_48,543.5,478.785400390625,82.0
2011_49,430.25,685.2757568359375,104.0
2011_50,335.25,925.7540283203125,102.0
2011_51,481.75,1102.27880859375,66.0
2011_52,819.0,1157.57568359375,47.0
2012_01,892.75,1171.2177734375,84.0
2012_02,858.0,1188.8912353515625,91.0
2012_03,812.5,1226.908935546875,77.0
2012_04,744.75,1264.876953125,86.0
2012_05,839.5,1238.312255859375,66.0
2012_06,1006.25,1305.26171875,64.0
2012_07,1071.0,1326.4423828125,27.0
2012_08,892.25,1263.20947265625,55.0
2012_09,842.75,1203.935546875,71.0
2012_10,852.25,1132.266357421875,63.0
2012_11,769.5,1077.696533203125,57.0
2012_12,769.25,1047.1728515625,51.0
2012_13,785.0,1017.0145263671875,55.0
2012_14,674.75,966.1483154296875,50.0
2012_15,680.0,897.5457763671875,60.0
2012_16,706.0,827.510009765625,66.0
2012_17,686.25,751.6715087890625,56.0
2012_18,755.0,658.9583740234375,29.0
2012_19,690.5,560.1029052734375,48.0
2012_20,606.75,445.6536865234375,46.0
2012_21,491.25,354.63214111328125,41.0
2012_22,382.0,295.864013671875,69.0
2012_23,446.75,253.38697814941406,50.0
2012_24,536.5,264.4061279296875,53.0
2012_25,603.25,288.09381103515625,46.0
2012_26,681.5,289.9384765625,47.0
2012_27,629.0,280.93359375,51.0
2012_28,609.75,223.736328125,46.0
2012_29,591.25,172.70220947265625,36.0
2012_30,523.75,162.9905548095703,42.0
2012_31,518.5,168.89581298828125,36.0
2012_32,434.0,177.31101989746094,24.0
2012_33,398.5,180.49803161621094,35.0
2012_34,351.25,200.09625244140625,33.0
